E1	Klimaforandringer					100	100	5,0	5
	1.1	CO2 udledninger							
		1.1.1	Virksomheden har udregnet og dokumenteret sine CO2e-udledninger for Scope 1 og 2.	10	SAND	35	35	0,5	
		1.1.2	Virksomheden har udregnet og dokumenteret sine CO2e-udledninger for Scope 1, 2 og 3.	5	SAND			0,3	
		1.1.3	Virksomheden har en politik for reduktion af sine CO2e-udledninger.	5	SAND			0,3	
		1.1.4	Virksomheden har konkrete mål for reduktion af sine CO2e-udledninger.	5	SAND			0,3	
		1.1.5	Virksomheden har en strategi for, hvordan de vil opnå deres CO2e-reduktionsmål.	10	SAND			0,5	
	1.2	Energiledelse og energiforbrug							
		1.2.1	"Virksomheden har udpeget ansvarlige for energiledelse og fastlagt, hvordan ansvaret er organiseret på den pågældende lokation. 
"	10	SAND	35	35	0,5	
		1.2.2	Virksomheden har en politik for at håndtere energiforbrug og energimiks.	5	SAND			0,3	
		1.2.3	Virksomheden har konkrete målsætninger for at øge andelen af vedvarende energi og reducere energiforbruget.	5	SAND			0,3	
		1.2.4	Virksomheden har en handlingsplan/strategi for, hvordan de vil opnå deres energimål.	10	SAND			0,5	
		1.2.5	Virksomheden overvåger systematisk og følger op på sit energiforbrug 	5	SAND			0,3	
	1.3	Vedvarende energi							
		1.3.1	Mindst 20% af virksomhedens energiforbrug stammer fra vedvarende energikilder	2,5	SAND	15	15	0,1	
		1.3.2	Mindst 50% af virksomhedens energiforbrug stammer fra vedvarende energikilder	2,5	SAND			0,1	
		1.3.3	Hele virksomhedens energiforbrug stammer fra vedvarende energikilder	5	SAND			0,3	
		1.3.4	Virksomheden kan dokumentere oprindelsen af den energi, som hævdes at være grøn, uanset andel.	5	SAND			0,3	
	1.4	Energimærke							
		1.4.1	Virksomheden har dokumenteret energimærkningen af størstedelen af sine bygninger.	5	SAND	15	15	0,3	
		1.4.2	Størstedelen af virksomhedens bygninger har energimærke B eller bedre.	2	SAND			0,1	
		1.4.3	Størstedelen af virksomhedens bygninger har energimærke A2010 eller bedre.	2	SAND			0,1	
		1.4.4	Størstedelen af virksomhedens bygninger har energimærke A2015 eller bedre.	2	SAND			0,1	
